city,lat,lng,max temperature,humidity,cloudiness,wind speed,country,date
ust-maya,60.416439,134.536499,70.43,68.0,100.0,3.62,RU,1659133591.0
savannah bight,16.4856602,-85.8454018,82.22,78.0,13.0,20.29,HN,1659133592.0
tasiilaq,65.6152573,-37.6378149,43.3,77.0,70.0,3.44,GL,1659133592.0
yasnyy,47.14159,40.15799,81.55,48.0,85.0,10.58,RU,1659133593.0
umm kaddadah,13.6002208,26.6892786,84.79,49.0,84.0,13.22,SD,1659133593.0
kati,12.7389091,-8.0684052,74.35,85.0,100.0,3.18,ML,1659133594.0
rawannawi,2.0520799,173.2627529,81.7,76.0,7.0,16.17,KI,1659133594.0
ipua,-20.4441839,-48.012504,74.7,33.0,18.0,6.71,BR,1659133594.0
guaymas,27.9216441,-110.8994059,93.22,66.0,100.0,11.5,MX,1659133595.0
amapa,21.7844465,-105.254711,89.87,57.0,97.0,9.57,MX,1659133595.0
vao,58.93963145,25.97080937451389,50.31,94.0,12.0,5.91,EE,1659133596.0
souillac,44.8980172,1.46943,68.11,65.0,29.0,4.61,FR,1659133596.0
calvinia,-31.469444,19.777222,46.27,88.0,100.0,4.27,ZA,1659133597.0
geraldton,-28.77035,114.6147159,53.76,71.0,40.0,8.05,AU,1659133597.0
morristown,40.7970382,-74.4809868,84.9,68.0,100.0,8.05,US,1659133598.0
batagay-alyta,67.799362,130.403229,61.32,86.0,100.0,3.44,RU,1659133598.0
hermanus,-34.4175,19.2361111,48.83,68.0,100.0,11.63,ZA,1659133599.0
grand centre,38.6416618,-90.2308265,84.25,49.0,0.0,11.5,US,1659133599.0
mount gambier,-37.8246698,140.7820067624113,41.52,72.0,3.0,10.71,AU,1659133600.0
sitka,57.0524973,-135.337612,58.82,88.0,100.0,3.44,US,1659133600.0
dolinsk,47.3241456,142.7979361,67.68,80.0,93.0,7.58,RU,1659133601.0
camacupa,-12.0203585,17.4763605,59.9,27.0,4.0,0.11,AO,1659133601.0
mys shmidta,68.8928813,-179.4130958,39.2,84.0,99.0,4.14,RU,1659133601.0
